,KOI_x,KIC,Kepler,Prot_flag,Prot_adopted,Prot_ANG18,Prot_MAZ15,Prot_D20,Prot_MCQ13,Prot_WAL13,KOI_y,Teff,E_Teff,e_Teff,[Fe/H],E_[Fe/H],e_[Fe/H],Ksmag,e_Ksmag,plx,e_plx,R,E_R,e_R,Miso,E_Miso,e_Miso,Riso,E_Riso,e_Riso,rhoiso,E_rhoiso,e_rhoiso,logAiso,E_logAiso,e_logAiso,plxspec,E_plxspec,e_plxspec,r8,RCF,KOI_strip
1539,2389,8494617,Kepler-1218,m,,8.16,61.60,43.49,,,K02389,5832,60,60,-0.06,0.04,0.04,12.177,0.018,1.214,0.018,1.387,0.038,0.036,0.98,0.026,0.025,1.372,0.022,0.021,0.38,0.02,0.02,9.97,0.04,0.05,1.22,0.145,0.18,1,,2389
1540,2390,10289119,Kepler-1219,m,,17.26,29.36,9.65,29.07,29.94,K02390,6003,60,60,0.14,0.04,0.04,10.809,0.068,1.16,0.023,2.672,0.115,0.111,1.454,0.051,0.018,2.646,0.046,0.068,0.08,0.01,0,9.45,0.02,0.04,1.64,0.196,0.22,1.028,1.0007,2390
1541,2392,7382313,Kepler-1220,a,m15,,15.39,15.36,15.35,15.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1542,2393,4665571,,m,,34.51,40.54,16.95,,,K02393,4835,60,60,-0.07,0.04,0.04,12.722,0.038,2.023,0.032,0.719,0.025,0.024,0.746,0.025,0.023,0.717,0.009,0.01,2.02,0.11,0.1,9.8,0.24,0.48,2.024,0.058,0.065,1.807,,2393
1543,2397,9269042,Kepler-1221,a,m15,,23.47,23.46,23.31,23.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1544,2398,6199056,,b,a18,1.54,2.67,1.34,1.34,,K02398,6166,60,60,-0.3,0.04,0.04,12.276,0.021,0.994,0.014,1.574,0.042,0.04,1.025,0.022,0.021,1.562,0.024,0.022,0.27,0.01,0.01,9.83,0.03,0.04,1.198,0.134,0.163,1.001,,2398
1545,2399,11461433,Kepler-1222,b,a18,27.91,28.03,14.02,27.79,24.96,K02399,5066,60,60,-0.06,0.04,0.04,12.187,0.023,2.433,0.019,0.742,0.02,0.02,0.797,0.02,0.03,0.746,0.005,0.007,1.92,0.07,0.1,9.5,0.39,0.45,2.364,0.075,0.09,1.017,,2399
1546,2400,7984574,,b,m15,,18.45,18.09,18.44,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1547,2401,10336951,,a,m15,,26.58,27.65,27.17,26.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548,2402,8481129,Kepler-1223,m,,,45.32,42.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,2403,2142522,Kepler-1224,b,a18,10.54,10.35,12.14,10.38,,K02403,6125,60,60,0.14,0.04,0.04,11.588,0.021,1.812,0.026,1.181,0.031,0.03,1.179,0.032,0.034,1.167,0.022,0.015,0.74,0.04,0.05,9.16,0.24,0.48,1.733,0.118,0.197,1,,2403
1550,2404,6364215,,m,,,47.65,15.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,2406,5007345,Kepler-1225,m,,,61.51,13.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
